
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-02-01 15:26:58 /api/v1/health ...................................... ~ 0.10ms
  2026-02-01 15:27:05 /api/v1/assignments ................................. ~ 0.10ms
  2026-02-01 15:27:05 /api/v1/students .................................... ~ 0.03ms
  2026-02-01 15:27:05 /api/v1/assignments ................................. ~ 0.49ms
  2026-02-01 15:27:05 /api/v1/students .................................... ~ 0.41ms
  2026-02-01 15:27:14 /api/v1/auth/login .................................. ~ 0.10ms
  2026-02-01 15:27:30 /api/v1/auth/login .................................. ~ 0.11ms
  2026-02-01 15:27:34 /api/v1/health .................................... ~ 500.37ms
  2026-02-01 15:40:33 /api/v1/students .................................... ~ 0.53ms
  2026-02-01 15:40:33 /api/v1/assignments ................................. ~ 0.09ms
  2026-02-01 15:40:33 /api/v1/upload-types ................................ ~ 1.26ms
  2026-02-01 15:40:33 /api/v1/students .................................... ~ 1.26ms
  2026-02-01 15:40:33 /api/v1/assignments ................................. ~ 1.17ms
  2026-02-01 15:40:33 /api/v1/upload-types ................................ ~ 1.06ms
  2026-02-01 15:40:35 /api/v1/students .................................... ~ 0.11ms
  2026-02-01 15:40:35 /api/v1/submissions ................................. ~ 0.02ms
  2026-02-01 15:40:35 /api/v1/submissions ................................. ~ 0.46ms
  2026-02-01 15:40:35 /api/v1/students .................................... ~ 0.41ms
  2026-02-01 15:40:37 /api/v1/students .................................... ~ 0.11ms
  2026-02-01 15:40:37 /api/v1/submissions ................................. ~ 0.02ms
  2026-02-01 15:40:37 /api/v1/students .................................... ~ 0.04ms
  2026-02-01 15:40:37 /api/v1/submissions ................................. ~ 0.48ms
  2026-02-01 15:41:25 /api/v1/students .................................... ~ 0.15ms
  2026-02-01 15:41:28 /api/v1/assignments ................................. ~ 0.09ms
  2026-02-01 15:44:18 /api/v1/students .................................... ~ 0.11ms
  2026-02-01 15:44:18 /api/v1/submissions ................................. ~ 0.03ms
  2026-02-01 15:44:18 /api/v1/students .................................... ~ 0.43ms
  2026-02-01 15:44:18 /api/v1/submissions ................................. ~ 0.48ms
  2026-02-01 15:44:22 /api/v1/students .................................... ~ 0.12ms
  2026-02-01 15:44:22 /api/v1/submissions ................................. ~ 0.02ms
  2026-02-01 15:44:22 /api/v1/students .................................... ~ 0.46ms
  2026-02-01 15:44:22 /api/v1/submissions ................................. ~ 0.50ms
  2026-02-01 15:45:15 /api/v1/students .................................... ~ 0.10ms
  2026-02-01 15:45:18 /api/v1/submissions ................................. ~ 0.09ms
  2026-02-01 15:50:12 /api/v1/students .................................... ~ 0.11ms
  2026-02-01 15:50:12 /api/v1/submissions ................................. ~ 0.60ms
  2026-02-01 15:50:12 /api/v1/students .................................... ~ 0.40ms
  2026-02-01 15:50:12 /api/v1/submissions ................................. ~ 0.42ms
